
 	Bari	Brescia	Cagliari	Cremonese	Fiorentina	Foggia	Genoa	Internazionale	Juventus	Lazio	Milan	Napoli	Padova	Parma	Reggiana	Roma	Sampdoria	Torino
Bari	 	3-0	0-0	2-0	2-2	2-1	4-1	0-1	0-2	0-1	3-5	1-1	0-1	1-2	1-0	2-2	1-2	3-1
Brescia	1-0	 	2-3	1-2	2-4	1-0	1-2	0-0	1-1	0-1	0-5	1-2	1-3	1-2	1-0	0-0	0-0	1-4
Cagliari	2-1	2-0	 	1-0	2-0	2-1	1-0	1-1	3-0	1-1	1-1	0-1	2-0	2-0	4-2	0-1	0-2	1-0
Cremonese	0-0	0-0	2-0	 	0-0	1-3	4-1	0-1	1-2	0-0	1-0	2-0	3-0	1-1	2-1	2-5	2-0	3-0
Fiorentina	2-0	4-0	2-1	3-1	 	1-1	3-1	2-2	1-4	1-1	1-2	4-0	4-1	1-1	1-1	1-0	2-2	6-3
Foggia	2-2	3-1	2-0	0-1	2-1	 	2-1	0-0	2-0	0-1	1-3	1-1	4-1	0-0	1-0	0-1	1-1	0-2
Genoa	1-1	1-0	1-1	0-1	1-1	3-0	 	2-1	0-4	1-2	1-1	3-3	2-1	0-0	3-1	1-0	2-1	1-0
Internazionale	1-2	1-0	1-2	0-0	3-1	3-0	2-0	 	0-0	0-2	3-1	0-2	2-1	1-1	1-0	0-1	2-0	2-1
Juventus	2-0	2-1	3-1	1-0	3-2	2-0	1-1	0-0	 	0-3	1-0	1-0	0-1	4-0	3-1	3-0	1-0	1-2
Lazio	1-2	1-0	0-0	1-0	8-2	7-1	4-0	4-1	3-4	 	4-0	5-1	5-1	2-2	2-0	0-3	1-0	3-0
Milan	0-1	1-0	1-1	3-1	2-0	3-0	1-0	1-1	0-2	2-1	 	1-1	1-0	1-1	2-1	1-0	0-0	5-1
Napoli	3-0	1-1	1-1	1-0	2-5	2-1	1-0	1-3	0-2	3-2	1-0	 	3-3	1-0	1-0	0-0	2-0	1-1
Padova	0-2	2-0	2-1	3-2	0-1	0-0	1-1	1-0	1-2	2-0	2-0	2-0	 	0-3	3-0	0-0	1-4	4-2
Parma	1-0	4-0	2-1	2-0	3-0	2-0	0-0	3-0	1-3	2-0	2-3	2-0	1-0	 	2-1	1-0	3-2	2-0
Reggiana	0-1	2-0	0-0	2-0	1-1	1-1	0-1	0-1	1-2	0-0	0-4	1-2	3-0	2-2	 	1-4	0-2	1-0
Roma	2-0	3-0	1-1	1-1	2-0	1-1	3-0	3-1	3-0	0-2	0-0	1-1	2-0	1-0	2-0	 	1-0	1-1
Sampdoria	1-1	2-1	5-0	2-1	2-2	1-1	3-2	2-2	0-1	3-1	0-3	0-0	5-0	3-1	2-1	3-0	 	1-1
Torino	2-0	2-0	3-2	1-1	1-0	2-0	0-0	0-2	3-2	2-0	0-0	1-1	2-0	0-2	4-0	2-2	0-0	 
